artist,title,year,date,TV
Ski Mask The Slump God,Faucet Failure,2018,2018-11-30,73.76736889287315
Lil Pump,I Love It (& Lil Pump),2018,2018-09-07,52.718681571971885
Lil Pump,Arms Around You (feat. Maluma & Swae Lee),2018,2018-10-25,31.05809128630708
Lil Pump,"Welcome to the Party (with French Montana & Lil Pump, feat. Zhavia Ward) - from Deadpool 2",2018,2018-05-15,53.82061369000789
Smokepurpp,Do Not Disturb (feat. Lil Yachty & Offset),2018,2018-04-13,66.14408361328853
Smokepurpp,Nephew (feat. Lil Pump),2018,2018-07-27,40.09185914930438
Smokepurpp,123,2018,2018-04-13,63.78211629479377
JID,151 Rum,2018,2018-11-26,34.97346600331674
JID,Off Deez (with J. Cole),2018,2018-11-26,70.38900634249471
JID,Workin Out,2018,2018-11-26,58.61326579072346
Stefflon Don,Calypso,2018,2018-06-14,46.91962464300288
Stefflon Don,Senseless - Remix,2018,2018-11-12,33.118078419634855
Stefflon Don,Hurtin' Me - The Remix,2018,2018-08-17,36.81044206907668
BlocBoy JB,Rover,2018,2018-02-09,44.75613544579063
BlocBoy JB,Don't Say That (Feat. Lil Uzi Vert),2018,2018-10-30,70.5994754589734
BlocBoy JB,Nun of Dat (feat. Lil Pump),2018,2018-05-04,50.121008403361344
YBN Nahmir,Rubbin off the Paint,2018,2018-09-07,51.45683942997184
YBN Nahmir,Porsches In The Rain,2018,2018-09-07,60.66466238725928
YBN Nahmir,Target,2018,2018-09-07,58.13415574402468
Wifisfuneral,Juveniles (feat. YBN Nahmir),2018,2018-06-08,63.01819210104627
Wifisfuneral,LilSkiesFuneral (feat. Lil Skies),2018,2018-06-08,52.35934100093254
Wifisfuneral,IMVU,2018,2018-06-08,65.39904376609047
Trippie Redd,Taking A Walk,2018,2018-08-10,39.46210778692798
Trippie Redd,Dark Knight Dummo,2018,2018-08-10,36.02860965318514
Comethazine,SOLVED THE PROBLEM,2019,2019-07-26,65.49104459670632
Comethazine,FIND HIM!,2019,2019-07-26,59.101328470955984
Comethazine,NONSENSE,2019,2019-01-11,48.61181587531714
Tierra Whack,Only Child,2019,2019-02-19,34.97002208898707
Tierra Whack,Wasteland,2019,2019-03-12,31.611316113161152
Tierra Whack,CLONES,2019,2019-02-26,43.1285000756773
DaBaby,BOP,2019,2019-09-27,61.0676784611312
DaBaby,Suge,2019,2019-03-01,59.33478918192508
DaBaby,TOES (feat. Lil Baby & Moneybagg Yo),2019,2019-09-27,57.58894503454677
Roddy Ricch,The Box,2019,2019-12-06,41.92361341746927
Roddy Ricch,High Fashion (feat. Mustard),2019,2019-12-06,40.94456355283311
